10001, 2005-9-28, everbank, W, 899, 9458
12410, 2006-8-24, ford, W, 2550, 708
12411, 2018-6-18, gillette, W, 4320, 5399
12412, 2018-1-8, dolphin, T, 1501, 660
12413, 2015-1-11, ford, L, 265, 4089
12414, 2004-12-20, dallas cowboys, L, 158, 4636
12415, 2012-3-16, bank of america, W, 1225, 2557
12416, 2001-12-13, invesco, L, 3179, 3597
12417, 2014-3-8, lucas oil, T, 390, 5394
12418, 2002-5-9, dolphin, L, 1578, 3937
12419, 2008-1-17, giants, T, 3596, 4170
12420, 2010-7-25, qwest, L, 1000, 665
12421, 2010-9-30, invesco, W, 900, 376
12422, 2007-6-29, arrowhead, T, 2485, 4413
12423, 2003-10-12, arrowhead, T, 3732, 747
12424, 2004-8-1, louisiana superdome, L, 3473, 6112
12425, 2000-4-24, lincoln, L, 4173, 730
12426, 2009-4-15, heinz, W, 561, 8347
12427, 2018-5-22, everbank, L, 3481, 3998
12428, 2005-6-16, paul brown, L, 4248, 1056
12429, 2014-6-14, soldier field ii, L, 2383, 5096
12430, 2006-6-1, dolphin, L, 483, 5949
12431, 2014-5-12, georgia dome, T, 211, 9585
12432, 2001-12-29, bank of america, W, 1737, 1459
12433, 2013-7-17, lp, W, 1029, 6541
12434, 2003-10-20, reliant, W, 2699, 5884
12435, 2011-1-24, fedexfield, T, 2071, 2709
12436, 2002-5-27, heinz, T, 3579, 3712
12437, 2016-3-8, giants, T, 178, 593
12438, 2007-12-30, qualcomm, T, 964, 5322
12439, 2007-5-14, university of phoenix, T, 3888, 3373
12440, 2014-3-21, m&t bank, L, 3015, 6093
12441, 2012-12-23, arrowhead, L, 419, 4487
12442, 2003-6-21, m&t bank, T, 3085, 5933
12443, 2003-3-9, giants, T, 4718, 132
12444, 2018-2-24, bank of america, L, 3921, 890
12445, 2005-3-1, fedexfield, T, 2093, 3345
12446, 2016-1-25, m&t bank, T, 4930, 7291
12447, 2008-3-24, qwest, T, 3188, 1398
12448, 2002-10-10, raymond james, T, 2770, 9550
12449, 2016-4-28, dallas cowboys, W, 2757, 416
12450, 2008-8-8, louisiana superdome, T, 3721, 4713
12451, 2006-11-10, louisiana superdome, W, 504, 6609
12452, 2010-9-2, dallas cowboys, W, 103, 7759
12453, 2016-12-2, lucas oil, L, 4137, 7746
12454, 2009-12-11, georgia dome, L, 4105, 6738
12455, 2012-1-8, soldier field ii, W, 4806, 9716
12456, 2000-8-12, lincoln, W, 2107, 694
12457, 2003-10-15, lambeau, T, 1587, 3698
12458, 2000-7-19, soldier field ii, T, 4718, 7800
12459, 2011-1-26, dolphin, T, 1810, 3355
12460, 2009-4-7, bank of america, L, 3492, 6313
12461, 2006-8-26, edward jones, T, 4757, 8378
12462, 2006-2-12, giants, W, 870, 6359
12463, 2009-5-14, lucas oil, W, 3071, 2181
12464, 2016-12-12, dallas cowboys, L, 2742, 6240
12465, 2003-7-4, arrowhead, W, 1965, 9833
12466, 2014-1-12, invesco, W, 1116, 8660
12467, 2009-8-4, qwest, L, 3955, 1452
12468, 2000-12-6, lucas oil, T, 513, 5084
12469, 2002-2-10, arrowhead, T, 2496, 4464
12470, 2008-2-25, giants, W, 2356, 6569
12471, 2014-3-17, hubert metrodome, L, 3110, 7262
12472, 2009-8-25, candlestick, W, 669, 8010
12473, 2001-12-1, lp, W, 831, 4558
12474, 2015-12-26, candlestick, L, 4948, 4993
12475, 2008-10-4, candlestick, L, 4681, 5950
12476, 2000-9-5, lincoln, W, 433, 4630
12477, 2002-11-26, qwest, W, 3270, 2076
12478, 2018-3-28, lincoln, L, 1407, 7875
12479, 2006-5-29, louisiana superdome, T, 4202, 8534
12480, 2009-9-26, arrowhead, T, 1360, 9355
12481, 2005-11-29, georgia dome, T, 471, 7535
12482, 2011-4-23, lucas oil, W, 3536, 3994
12483, 2001-6-13, lincoln, T, 3099, 8088
12484, 2002-6-15, giants, T, 4230, 9436
12485, 2001-10-10, lincoln, W, 2555, 9927
12486, 2015-5-13, lincoln, L, 3250, 2219
12487, 2010-9-29, bank of america, W, 4678, 1783
12488, 2004-2-30, dallas cowboys, T, 4725, 1792
12489, 2007-5-24, lincoln, T, 4643, 8650
12490, 2003-6-15, giants, L, 2885, 2964
12491, 2001-3-26, fedexfield, W, 4937, 4703
12492, 2000-3-11, paul brown, L, 4615, 674
12493, 2000-3-12, soldier field ii, L, 572, 6494
12494, 2004-9-30, lp, W, 4674, 7680
12495, 2001-6-5, lincoln, L, 2764, 9162
12496, 2011-9-3, university of phoenix, T, 794, 6793
12497, 2000-7-16, lp, T, 1617, 4852
12498, 2017-7-25, reliant, W, 1998, 767
12499, 2002-1-4, hubert metrodome, W, 1070, 2350
12500, 2016-3-24, lp, T, 4119, 3528
12501, 2016-2-15, dallas cowboys, L, 2142, 8159
12502, 2006-1-4, reliant, T, 2594, 6678
12503, 2016-3-19, edward jones, W, 4403, 3447
12504, 2017-10-7, ford, T, 3080, 1532
12505, 2013-5-9, raymond james, L, 3204, 8746
12506, 2001-8-3, dallas cowboys, W, 1297, 8170
12507, 2005-6-17, lincoln, L, 814, 1995
12508, 2004-1-26, candlestick, W, 3748, 9039
12509, 2011-5-24, dolphin, W, 3661, 7701
12510, 2000-11-13, fedexfield, L, 3854, 8412
12511, 2000-10-12, lincoln, T, 596, 3452
12512, 2003-4-2, arrowhead, L, 2456, 1047
12513, 2000-8-12, edward jones, T, 357, 2716
12514, 2015-5-30, qualcomm, T, 4499, 1148
12515, 2005-12-13, dallas cowboys, L, 1303, 1729
12516, 2003-2-9, giants, W, 2913, 7514
12517, 2011-5-17, georgia dome, W, 4819, 4433
12518, 2000-3-15, georgia dome, L, 4200, 8585
12519, 2012-4-6, lp, T, 1091, 2205
12520, 2000-2-14, m&t bank, T, 2489, 167
12521, 2010-2-3, candlestick, L, 1362, 3947
12522, 2013-12-25, cleveland browns, L, 593, 8740
12523, 2004-7-24, lp, W, 3785, 2333
12524, 2007-1-12, ralph wilson, T, 4094, 7882
12525, 2002-11-16, heinz, T, 691, 1919
12526, 2014-6-30, lp, T, 4817, 2302
12527, 2013-4-7, dallas cowboys, W, 3610, 8628
12528, 2003-9-4, m&t bank, W, 3518, 7431
12529, 2014-6-6, fedexfield, T, 1205, 4532
12530, 2004-12-20, candlestick, W, 2471, 2096
12531, 2008-8-5, gillette, L, 1400, 602
12532, 2016-11-25, raymond james, L, 1859, 4218
12533, 2012-3-23, lambeau, W, 330, 1560
12534, 2016-6-25, giants, L, 3343, 8921
12535, 2000-5-14, lucas oil, L, 615, 3147
12536, 2017-9-13, lucas oil, W, 4139, 326
12537, 2012-5-28, heinz, T, 4794, 7700
12538, 2005-12-24, lp, T, 1704, 4968
12539, 2003-10-23, candlestick, W, 3887, 8266
12540, 2010-12-17, lambeau, W, 2070, 3055
12541, 2017-6-29, cleveland browns, W, 556, 752
12542, 2016-6-21, m&t bank, W, 1937, 6859
12543, 2010-8-6, m&t bank, L, 4294, 8563
12544, 2015-4-17, everbank, T, 1295, 4478
12545, 2016-7-12, oakland-alameda, W, 3305, 2961
12546, 2003-4-8, heinz, L, 3342, 6875
12547, 2015-1-22, raymond james, W, 3402, 2586
12548, 2013-5-2, cleveland browns, T, 3177, 7603
12549, 2004-11-13, georgia dome, W, 1216, 4915
12550, 2018-2-30, gillette, W, 4621, 4764
12551, 2000-1-19, heinz, W, 573, 7889
12552, 2011-8-1, arrowhead, L, 4185, 3955
12553, 2007-4-22, dolphin, W, 2324, 6829
12554, 2000-5-10, paul brown, T, 4895, 9662
12555, 2004-8-16, raymond james, T, 1408, 4635
12556, 2007-9-13, hubert metrodome, L, 4247, 6407
12557, 2003-3-7, dolphin, L, 2693, 412
12558, 2013-5-14, invesco, L, 1273, 9550
12559, 2006-9-11, fedexfield, L, 4054, 5799
12560, 2018-2-24, invesco, T, 1407, 4579
12561, 2013-9-18, m&t bank, T, 658, 578
12562, 2004-6-30, university of phoenix, T, 266, 5435
12563, 2003-1-6, heinz, T, 3585, 4802
12564, 2004-11-8, cleveland browns, L, 3455, 1910
12565, 2005-10-24, everbank, W, 1884, 8606
12566, 2000-2-22, invesco, T, 3858, 3129
12567, 2018-4-2, bank of america, T, 2432, 7268
12568, 2001-1-5, hubert metrodome, W, 3426, 8027
12569, 2005-8-14, georgia dome, W, 2061, 4402
12570, 2006-9-5, soldier field ii, L, 2633, 6544
12571, 2002-9-10, cleveland browns, T, 1625, 6132
12572, 2016-12-30, giants, L, 2391, 3153
12573, 2011-11-1, reliant, L, 4278, 6752
12574, 2005-9-20, raymond james, W, 1917, 2845
12575, 2018-3-17, lincoln, W, 4046, 2843
12576, 2008-9-10, everbank, W, 1033, 5561
12577, 2004-12-26, dallas cowboys, T, 3301, 1749
12578, 2009-11-19, cleveland browns, T, 1995, 3920
12579, 2016-5-20, lambeau, L, 3169, 5347
12580, 2015-4-17, oakland-alameda, W, 3281, 2312
12581, 2014-9-9, fedexfield, T, 2187, 7263
12582, 2017-2-20, arrowhead, L, 2659, 8333
12583, 2018-8-23, raymond james, T, 1620, 7755
12584, 2012-10-23, lincoln, W, 4891, 1739
12585, 2001-4-11, gillette, T, 1115, 6075
12586, 2016-12-21, university of phoenix, T, 4395, 7139
12587, 2003-1-26, lincoln, T, 3672, 532
12588, 2010-7-21, qualcomm, W, 4367, 2950
12589, 2007-5-16, invesco, T, 3957, 1554
12590, 2014-8-9, giants, T, 371, 7302
12591, 2010-2-17, lincoln, W, 3727, 6536
12592, 2015-11-15, cleveland browns, W, 1214, 8659
12593, 2012-5-2, edward jones, T, 4130, 396
12594, 2005-12-15, hubert metrodome, W, 2618, 2995
12595, 2000-12-20, ralph wilson, W, 1350, 2523
12596, 2003-9-30, soldier field ii, W, 3905, 139
12597, 2007-3-7, candlestick, W, 2870, 2135
12598, 2008-11-19, bank of america, W, 655, 423
12599, 2009-10-23, qualcomm, W, 2051, 1671
12600, 2016-9-6, louisiana superdome, T, 4505, 8916
12601, 2011-4-18, reliant, L, 3171, 2744
12602, 2010-12-30, dallas cowboys, L, 2689, 4570
12603, 2000-7-24, lambeau, W, 1256, 846
12604, 2011-4-15, giants, W, 2613, 7835
12605, 2000-12-28, oakland-alameda, L, 4289, 4904
12606, 2008-3-3, raymond james, L, 4252, 5174
12607, 2000-5-20, arrowhead, L, 2197, 9600
12608, 2007-4-5, fedexfield, T, 3588, 2307
12609, 2004-12-7, heinz, W, 4212, 9540
12610, 2006-9-16, qualcomm, L, 1192, 5047
12611, 2003-8-9, hubert metrodome, L, 387, 9471
12612, 2015-3-28, arrowhead, L, 189, 4485
12613, 2018-11-29, ralph wilson, T, 2454, 9589
12614, 2013-10-30, hubert metrodome, T, 569, 4507
12615, 2001-1-13, fedexfield, T, 1846, 3793
12616, 2012-5-29, everbank, W, 2598, 4358
12617, 2007-4-23, arrowhead, L, 508, 1714
12618, 2002-12-27, louisiana superdome, W, 3187, 9945
12619, 2012-9-4, gillette, W, 3809, 568
12620, 2017-5-11, heinz, W, 1832, 9420
12621, 2013-8-7, gillette, L, 2836, 8409
12622, 2013-10-15, qualcomm, T, 2159, 7772
12623, 2012-11-28, raymond james, L, 3460, 8459
12624, 2005-2-14, giants, L, 1791, 4077
12625, 2002-3-14, raymond james, L, 3627, 7777
12626, 2013-6-16, edward jones, L, 519, 2858
12627, 2002-4-17, reliant, L, 2983, 4935
12628, 2011-11-22, cleveland browns, L, 3764, 8833
12629, 2006-1-10, lucas oil, L, 4057, 3486
12630, 2004-12-15, candlestick, L, 2157, 730
12631, 2012-5-22, raymond james, T, 3608, 5263
12632, 2005-4-5, hubert metrodome, T, 377, 634
12633, 2018-9-12, heinz, W, 850, 8755
12634, 2015-8-26, ralph wilson, T, 4525, 9617
12635, 2013-6-21, ford, T, 420, 4748
12636, 2001-6-18, reliant, T, 4773, 8706
12637, 2018-3-29, m&t bank, W, 4980, 3194
12638, 2003-8-22, raymond james, W, 297, 4109
12639, 2001-1-14, gillette, L, 3529, 5017
12640, 2001-8-7, cleveland browns, T, 881, 4278
12641, 2018-4-22, reliant, L, 4449, 2340
12642, 2011-3-10, gillette, T, 2360, 9921
12643, 2005-1-1, raymond james, L, 2385, 3133
12644, 2007-2-9, university of phoenix, L, 3167, 2099
12645, 2009-1-9, reliant, W, 1373, 3036
12646, 2009-10-21, louisiana superdome, T, 2330, 268
12647, 2007-7-27, gillette, L, 2432, 1670
12648, 2000-2-20, gillette, L, 2624, 3312
12649, 2000-7-2, gillette, T, 2934, 9943
12650, 2010-12-24, giants, T, 1503, 1128
12651, 2008-8-22, qualcomm, W, 2041, 8497
12652, 2010-5-21, gillette, T, 2465, 8001
12653, 2017-5-7, university of phoenix, T, 1138, 8054
12654, 2013-7-9, lambeau, L, 375, 9259
12655, 2003-5-24, louisiana superdome, T, 2391, 9402
12656, 2016-7-5, gillette, W, 3576, 7130
12657, 2012-5-23, bank of america, W, 1707, 3450
12658, 2007-2-14, gillette, T, 4834, 6442
12659, 2006-1-21, georgia dome, L, 4568, 6389
12660, 2015-9-19, raymond james, L, 4929, 987
12661, 2014-10-27, paul brown, L, 444, 1690
12662, 2004-1-26, paul brown, T, 2183, 6624
12663, 2008-2-27, soldier field ii, T, 1818, 5822
12664, 2005-2-14, paul brown, W, 3112, 6434
12665, 2008-11-26, paul brown, T, 3742, 8491
12666, 2007-6-26, lp, W, 507, 7343
12667, 2012-9-1, invesco, T, 778, 5552
12668, 2001-9-24, paul brown, T, 3664, 684
12669, 2007-9-13, georgia dome, T, 515, 3640
12670, 2007-3-29, lincoln, T, 2590, 8758
12671, 2011-1-26, georgia dome, T, 744, 3438
12672, 2002-12-6, lucas oil, T, 1023, 1842
12673, 2018-10-15, soldier field ii, L, 3023, 7396
12674, 2014-7-5, candlestick, T, 789, 7881
12675, 2016-11-14, hubert metrodome, W, 640, 2744
12676, 2009-4-15, oakland-alameda, T, 4168, 3796
12677, 2005-2-29, heinz, L, 3153, 1384
12678, 2016-11-27, soldier field ii, W, 2426, 9981
12679, 2003-1-24, cleveland browns, W, 457, 3673
12680, 2006-6-11, lincoln, W, 4095, 8798
12681, 2011-9-23, qualcomm, L, 2550, 3211
12682, 2017-5-6, qwest, W, 1367, 2050
12683, 2002-9-12, m&t bank, T, 3398, 9997
12684, 2014-7-14, ford, T, 2793, 563
12685, 2018-7-3, lucas oil, T, 2721, 6044
12686, 2016-2-2, lucas oil, W, 3196, 6550
12687, 2009-12-3, qwest, W, 939, 9089
12688, 2007-2-24, soldier field ii, T, 2433, 1693
12689, 2002-1-24, m&t bank, W, 129, 5112
12690, 2013-1-28, invesco, L, 2059, 1021
12691, 2000-9-3, giants, L, 4252, 3663
12692, 2003-11-18, hubert metrodome, T, 2990, 9858
12693, 2015-12-5, everbank, T, 1938, 8789
12694, 2003-6-4, hubert metrodome, W, 670, 2449
12695, 2005-12-19, qualcomm, L, 3857, 9200
12696, 2005-9-23, qualcomm, T, 3213, 839
12697, 2017-3-4, qualcomm, L, 3604, 5607
12698, 2013-1-29, georgia dome, T, 326, 3190
12699, 2006-11-10, qwest, L, 1788, 4329
12700, 2001-9-28, everbank, L, 863, 6299
12701, 2012-1-22, edward jones, L, 3318, 2490
12702, 2006-1-13, paul brown, T, 232, 7396
12703, 2001-2-25, gillette, W, 3391, 6309
12704, 2014-3-17, lp, L, 2290, 154
12705, 2018-5-22, ford, W, 378, 5358
12706, 2008-2-24, qualcomm, W, 2978, 9161
12707, 2018-4-24, gillette, W, 4064, 8187
12708, 2000-12-29, giants, L, 3069, 1539
12709, 2006-10-20, lincoln, L, 1252, 7897
12710, 2002-3-16, lucas oil, L, 4353, 2211
12711, 2016-1-11, m&t bank, L, 3822, 4895
12712, 2002-3-25, arrowhead, W, 2479, 8022
12713, 2004-7-3, oakland-alameda, L, 145, 2867
12714, 2013-1-5, qualcomm, L, 4000, 1490
12715, 2001-3-1, university of phoenix, T, 4131, 2923
12716, 2017-7-24, qualcomm, T, 1837, 5158
12717, 2006-6-11, gillette, T, 2030, 2307
12718, 2017-5-13, ford, L, 149, 5254
12719, 2000-1-16, ford, T, 2443, 7256
12720, 2003-8-30, edward jones, W, 1187, 4301
12721, 2011-11-14, ralph wilson, L, 3783, 3762
12722, 2006-1-29, lucas oil, L, 1856, 174
12723, 2011-1-18, reliant, T, 3986, 7815
12724, 2014-9-4, lincoln, T, 4227, 8796
12725, 2014-11-23, paul brown, W, 3763, 479
12726, 2013-1-4, paul brown, W, 4156, 2760
12727, 2008-7-19, lambeau, W, 394, 6788
12728, 2004-8-3, gillette, W, 2079, 6966
12729, 2006-9-4, candlestick, W, 3775, 6057
12730, 2002-3-15, qualcomm, T, 4689, 5629
12731, 2005-3-27, raymond james, W, 3212, 5702
12732, 2012-12-20, raymond james, L, 4569, 1510
12733, 2017-4-18, georgia dome, L, 2912, 780
12734, 2000-1-21, ford, L, 635, 8834
12735, 2003-3-5, ford, L, 3802, 3255
12736, 2000-3-7, qwest, L, 1308, 5448
12737, 2001-10-20, invesco, L, 2565, 3563
12738, 2017-1-14, giants, L, 2962, 1393
12739, 2008-10-11, lp, W, 151, 9305
12740, 2010-1-28, oakland-alameda, L, 950, 6131
12741, 2013-3-21, reliant, T, 4316, 3380
12742, 2014-10-2, university of phoenix, W, 2535, 5588
12743, 2005-5-8, cleveland browns, W, 2278, 2902
12744, 2017-5-24, lucas oil, W, 1035, 9068
12745, 2012-3-3, lucas oil, T, 1832, 3157
12746, 2002-1-6, invesco, T, 3216, 2224
12747, 2005-4-15, lp, T, 223, 9116
12748, 2002-5-16, lp, W, 4964, 297
12749, 2004-10-4, qwest, T, 1240, 9044
12750, 2006-4-17, bank of america, W, 4139, 7067
12751, 2005-2-22, qwest, T, 2972, 2984
12752, 2003-5-16, soldier field ii, T, 300, 2388
12753, 2015-7-22, heinz, T, 1177, 7848
12754, 2003-6-1, university of phoenix, T, 3870, 5090
12755, 2018-9-22, lucas oil, L, 2276, 9824
12756, 2005-3-27, bank of america, L, 3309, 6670
12757, 2007-10-25, louisiana superdome, L, 953, 8497
12758, 2015-5-12, arrowhead, L, 411, 2266
12759, 2014-12-4, arrowhead, T, 4340, 8591
12760, 2018-4-8, m&t bank, L, 2943, 5339
12761, 2001-8-3, invesco, W, 1049, 835
12762, 2006-2-27, qualcomm, L, 2769, 8911
12763, 2013-8-22, hubert metrodome, L, 4897, 320
12764, 2011-1-29, invesco, T, 762, 9861
12765, 2004-11-30, lincoln, W, 4193, 2670
12766, 2013-6-13, arrowhead, L, 4514, 404
12767, 2008-2-8, ralph wilson, T, 4050, 8569
12768, 2011-3-1, oakland-alameda, L, 829, 9966
12769, 2004-3-18, louisiana superdome, T, 2724, 9180
12770, 2011-10-13, ralph wilson, W, 4609, 3056
12771, 2009-12-28, gillette, T, 601, 9287
12772, 2014-5-13, dolphin, L, 1645, 8144
12773, 2006-7-25, gillette, W, 370, 8583
12774, 2009-9-15, paul brown, L, 1298, 6149
12775, 2012-9-7, bank of america, T, 4429, 8297
12776, 2000-6-2, heinz, L, 1854, 5077
12777, 2018-10-12, raymond james, W, 4624, 7352
12778, 2008-3-20, georgia dome, W, 880, 8929
12779, 2001-11-24, georgia dome, T, 4200, 8971
12780, 2008-12-4, raymond james, W, 4439, 3939
12781, 2007-1-28, dallas cowboys, L, 3403, 329
12782, 2005-4-24, gillette, W, 842, 9535
12783, 2014-3-7, paul brown, T, 4321, 7243
12784, 2017-1-4, lp, L, 4132, 9378
12785, 2003-12-16, lucas oil, W, 1161, 8744
12786, 2018-3-16, giants, T, 419, 4121
12787, 2001-3-19, ralph wilson, T, 2960, 3378
12788, 2010-5-19, gillette, T, 1502, 7679
12789, 2017-7-24, ford, W, 977, 8187
12790, 2016-10-3, qwest, L, 4923, 5091
12791, 2016-6-18, reliant, L, 3302, 2075
12792, 2002-11-10, reliant, T, 696, 5401
12793, 2014-7-20, raymond james, T, 1669, 361
12794, 2012-4-18, fedexfield, L, 4774, 8527
12795, 2006-12-8, lucas oil, W, 4158, 122
12796, 2006-5-2, georgia dome, L, 220, 3763
12797, 2005-9-8, dolphin, W, 348, 7988
12798, 2003-5-24, louisiana superdome, L, 4450, 2451
12799, 2018-9-2, cleveland browns, L, 3155, 9295
12800, 2017-12-11, gillette, W, 3384, 5819
12801, 2001-4-12, dolphin, T, 3283, 8563
12802, 2018-11-25, qwest, L, 942, 5721
12803, 2017-7-6, soldier field ii, W, 1652, 5618
12804, 2008-11-26, giants, T, 1257, 2868
12805, 2008-6-15, qwest, L, 2605, 3043
12806, 2010-8-14, fedexfield, T, 1600, 5504
12807, 2001-6-20, raymond james, T, 1923, 5008
12808, 2010-1-16, qualcomm, T, 687, 1679
12809, 2006-3-12, invesco, L, 1902, 4262
12810, 2006-10-9, invesco, W, 2906, 7379
12811, 2013-1-7, ralph wilson, T, 4748, 9453
12812, 2016-9-25, dolphin, W, 3490, 3794
12813, 2002-1-23, heinz, T, 1171, 5530
12814, 2014-2-30, bank of america, T, 568, 7908
12815, 2013-4-7, hubert metrodome, W, 4865, 5078
12816, 2013-5-4, bank of america, T, 3473, 3584
12817, 2010-12-5, lincoln, W, 541, 8737
12818, 2016-2-18, louisiana superdome, L, 3019, 4546
12819, 2018-11-19, everbank, T, 3799, 7376
12820, 2006-9-16, reliant, W, 1211, 6414
12821, 2012-3-29, ford, L, 4270, 4307
12822, 2001-6-16, ralph wilson, T, 2157, 5327
12823, 2014-4-9, qualcomm, L, 2126, 5407
12824, 2005-2-10, lincoln, T, 4236, 8559
12825, 2014-12-23, dallas cowboys, T, 1562, 8646
12826, 2014-3-7, dallas cowboys, L, 4389, 2544
12827, 2001-10-18, dolphin, W, 2442, 2474
12828, 2017-11-27, raymond james, L, 4635, 805
12829, 2004-4-20, oakland-alameda, T, 1616, 2479
12830, 2006-4-12, candlestick, T, 4771, 2254
12831, 2016-11-7, qwest, L, 2389, 6275
12832, 2014-11-12, everbank, L, 2768, 5883
12833, 2009-6-28, reliant, W, 3579, 6270
12834, 2006-2-28, reliant, W, 451, 1995
12835, 2007-4-20, everbank, T, 2490, 354
12836, 2012-5-18, m&t bank, L, 1776, 1002
12837, 2003-6-8, louisiana superdome, W, 1280, 6204
12838, 2016-5-13, invesco, W, 1121, 6966
12839, 2014-12-29, cleveland browns, W, 940, 4808
12840, 2004-9-27, louisiana superdome, T, 1948, 254
12841, 2005-9-24, bank of america, L, 3071, 734
12842, 2017-2-8, dolphin, T, 684, 7089
12843, 2009-11-29, university of phoenix, T, 1124, 8666
12844, 2000-4-24, raymond james, L, 577, 2499
12845, 2003-12-23, raymond james, W, 4054, 6606
12846, 2009-5-28, hubert metrodome, L, 803, 6255
12847, 2009-9-20, m&t bank, W, 956, 3190
12848, 2002-6-20, lucas oil, W, 136, 4510
12849, 2005-12-17, soldier field ii, T, 492, 2392
12850, 2016-7-7, everbank, W, 874, 2139
12851, 2011-10-11, dallas cowboys, W, 2547, 2465
12852, 2015-6-2, soldier field ii, L, 858, 3865
12853, 2018-9-28, invesco, T, 307, 7195
12854, 2000-11-26, cleveland browns, L, 2290, 8988
12855, 2005-7-5, invesco, L, 4601, 7006
12856, 2004-12-6, candlestick, T, 4396, 5413
12857, 2009-9-13, paul brown, L, 2846, 2873
12858, 2010-3-10, ford, T, 4396, 2423
12859, 2005-1-16, lp, W, 4281, 8782
12860, 2014-4-26, edward jones, T, 2711, 5076
12861, 2009-5-6, invesco, W, 2990, 4378
12862, 2014-10-21, hubert metrodome, L, 4285, 8032
12863, 2017-8-10, ralph wilson, W, 3317, 9508
12864, 2004-3-14, dallas cowboys, W, 4959, 189
12865, 2008-7-27, arrowhead, T, 4096, 3261
12866, 2005-6-27, lambeau, W, 667, 355
12867, 2018-11-8, lambeau, W, 2207, 5732
12868, 2013-4-8, lucas oil, W, 3955, 1911
12869, 2014-12-29, lambeau, W, 145, 7542
12870, 2017-1-9, dolphin, T, 4141, 2902
12871, 2017-8-11, candlestick, T, 4204, 7819
12872, 2001-5-22, ford, W, 2673, 577
12873, 2012-8-26, edward jones, T, 2399, 3396
12874, 2015-10-18, georgia dome, T, 1245, 5553
12875, 2017-7-30, arrowhead, T, 888, 5591
12876, 2013-3-16, heinz, W, 2517, 1134
12877, 2015-3-12, candlestick, W, 974, 2915
12878, 2013-1-22, everbank, T, 3760, 5843
12879, 2018-12-22, arrowhead, T, 1930, 6183
12880, 2016-12-10, m&t bank, T, 4425, 8937
12881, 2012-2-24, dolphin, L, 209, 1273
12882, 2018-11-6, bank of america, T, 3478, 6044
12883, 2003-4-13, oakland-alameda, T, 3141, 8436
12884, 2008-5-22, edward jones, L, 2952, 2395
12885, 2013-12-24, qualcomm, W, 4020, 5658
12886, 2001-2-30, arrowhead, L, 3438, 3960
12887, 2003-11-29, raymond james, L, 4982, 2252
12888, 2015-8-14, arrowhead, W, 1395, 4719
12889, 2013-3-17, candlestick, T, 2473, 2884
12890, 2007-7-13, louisiana superdome, W, 2578, 3675
12891, 2007-9-17, ford, L, 1389, 2590
12892, 2018-7-2, paul brown, W, 4093, 694
12893, 2016-8-14, louisiana superdome, T, 4454, 9117
12894, 2015-8-15, arrowhead, T, 1591, 5039
12895, 2009-2-28, hubert metrodome, W, 575, 2270
12896, 2012-9-21, oakland-alameda, T, 4926, 4079
12897, 2009-5-1, everbank, T, 570, 1122
12898, 2000-7-15, ralph wilson, L, 4589, 6428
12899, 2006-12-6, arrowhead, T, 1780, 5056
12900, 2014-9-25, edward jones, T, 1825, 5292
12901, 2003-4-2, giants, W, 3259, 8146
12902, 2000-6-21, bank of america, T, 729, 6344
12903, 2005-7-9, soldier field ii, L, 2161, 4880
12904, 2016-3-30, invesco, T, 1877, 5071
12905, 2018-3-22, oakland-alameda, W, 4067, 7976
12906, 2008-10-19, bank of america, T, 979, 7658
12907, 2012-8-30, lincoln, L, 1663, 5022
12908, 2017-4-25, lincoln, W, 4230, 6729
12909, 2011-5-14, reliant, W, 956, 3276
12910, 2001-8-27, georgia dome, L, 4468, 3543
12911, 2000-1-14, qwest, L, 1268, 101
12912, 2008-2-17, invesco, W, 2006, 7524
12913, 2005-2-3, dolphin, T, 4946, 6401
12914, 2013-5-18, georgia dome, T, 4137, 2270
12915, 2006-8-19, fedexfield, W, 1313, 3029
12916, 2003-10-7, bank of america, L, 286, 3103
12917, 2017-4-26, heinz, T, 3042, 5635
12918, 2012-2-22, everbank, W, 3473, 5009
12919, 2004-6-17, university of phoenix, L, 185, 3864
12920, 2009-9-5, lincoln, W, 3011, 1001
12921, 2014-4-24, reliant, W, 4645, 1463
12922, 2000-1-24, lucas oil, W, 4077, 931
12923, 2003-9-16, reliant, W, 442, 2974
12924, 2001-4-30, gillette, L, 4023, 3439
12925, 2004-10-14, fedexfield, T, 1761, 1897
12926, 2016-12-25, lincoln, T, 3095, 2641
12927, 2008-7-13, lp, W, 1466, 4321
12928, 2002-8-10, lucas oil, W, 658, 4686
12929, 2000-7-9, qualcomm, L, 845, 6939
12930, 2008-12-20, gillette, L, 1570, 9715
12931, 2007-6-7, ralph wilson, T, 1579, 3984
12932, 2018-2-11, ford, T, 3388, 6327
12933, 2010-8-7, lambeau, L, 4131, 1027
12934, 2005-4-1, reliant, W, 3254, 464
12935, 2005-8-22, dallas cowboys, W, 1372, 3950
12936, 2013-9-17, lucas oil, W, 3953, 6558
12937, 2009-7-20, university of phoenix, W, 4485, 9355
12938, 2008-3-9, louisiana superdome, L, 558, 7493
12939, 2001-9-15, soldier field ii, T, 1585, 6998
12940, 2017-3-4, ralph wilson, W, 1001, 3309
12941, 2001-6-15, edward jones, L, 2682, 5027
12942, 2017-7-21, cleveland browns, T, 379, 5245
12943, 2016-7-13, cleveland browns, W, 526, 6930
12944, 2011-6-12, invesco, T, 2250, 9060
12945, 2004-12-24, lp, L, 3155, 4281
